product,total_qty,revenue,cumulative_revenue,cumulative_percent
Macbook Pro Laptop,4645,7896500.0,7896500.0,23.30741242595745
iPhone,6732,4712400.0,12608900.0,37.21659374883239
ThinkPad Laptop,4054,4053959.46,16662859.46,49.18231338314275
Google Phone,5440,3264000.0,19926859.46,58.81637836868382
27in 4K Gaming Monitor,6134,2392198.66,22319058.12,65.87722314465327
34in Ultrawide Monitor,6076,2308819.24,24627877.36,72.69196413669603
Apple Airpods Headphones,15383,2307450.0,26935327.36,79.50266366209026
Flatscreen TV,4724,1417200.0,28352527.36,83.68568967235645
Bose SoundSport Headphones,13236,1323467.64,29675995.0,87.5920540259167
27in FHD Monitor,7429,1114275.71,30790270.71,90.88096474955331
Vareebadd Phone,2023,809200.0,31599470.71,93.26941002721871
20in Monitor,4058,446339.42,32045810.130000003,94.58683128269934
LG Washing Machine,649,389400.0,32435210.130000003,95.73618940321701
LG Dryer,640,384000.0,32819210.130000003,96.86960881328066
Lightning Charging Cable,22841,341472.95,33160683.080000002,97.87750482771216
USB-C Charging Cable,23555,281482.25,33442165.330000002,98.70833150932255
Wired Headphones,20201,242209.99,33684375.32,99.42324167593016
AA Batteries (4-pack),27148,104248.32,33788623.64,99.73094237737425
AAA Batteries (4-pack),30487,91156.13,33879779.77,100.0
